"","year","income.elasticity","energy.final.demand","region"
"1",2025,0.542,"transportation","USA"
"2",2030,0.519,"transportation","USA"
"3",2035,0.499,"transportation","USA"
"4",2040,0.481,"transportation","USA"
"5",2045,0.464,"transportation","USA"
"6",2050,0.451,"transportation","USA"
"7",2055,0.438,"transportation","USA"
"8",2060,0.425,"transportation","USA"
"9",2065,0.411,"transportation","USA"
"10",2070,0.4,"transportation","USA"
"11",2075,0.4,"transportation","USA"
"12",2080,0.4,"transportation","USA"
"13",2085,0.4,"transportation","USA"
"14",2090,0.4,"transportation","USA"
"15",2095,0.4,"transportation","USA"
"16",2100,0.4,"transportation","USA"
"17",2025,1.25,"transportation","Africa_Eastern"
"18",2030,1.25,"transportation","Africa_Eastern"
"19",2035,1.25,"transportation","Africa_Eastern"
"20",2040,1.25,"transportation","Africa_Eastern"
"21",2045,1.25,"transportation","Africa_Eastern"
"22",2050,1.25,"transportation","Africa_Eastern"
"23",2055,1.25,"transportation","Africa_Eastern"
"24",2060,1.25,"transportation","Africa_Eastern"
"25",2065,1.25,"transportation","Africa_Eastern"
"26",2070,1.25,"transportation","Africa_Eastern"
"27",2075,1.25,"transportation","Africa_Eastern"
"28",2080,1.25,"transportation","Africa_Eastern"
"29",2085,1.25,"transportation","Africa_Eastern"
"30",2090,1.25,"transportation","Africa_Eastern"
"31",2095,1.25,"transportation","Africa_Eastern"
"32",2100,1.25,"transportation","Africa_Eastern"
"33",2025,1.25,"transportation","Africa_Northern"
"34",2030,1.25,"transportation","Africa_Northern"
"35",2035,1.25,"transportation","Africa_Northern"
"36",2040,1.25,"transportation","Africa_Northern"
"37",2045,1.25,"transportation","Africa_Northern"
"38",2050,1.25,"transportation","Africa_Northern"
"39",2055,1.25,"transportation","Africa_Northern"
"40",2060,1.25,"transportation","Africa_Northern"
"41",2065,1.25,"transportation","Africa_Northern"
"42",2070,1.197,"transportation","Africa_Northern"
"43",2075,1.08,"transportation","Africa_Northern"
"44",2080,0.955,"transportation","Africa_Northern"
"45",2085,0.844,"transportation","Africa_Northern"
"46",2090,0.786,"transportation","Africa_Northern"
"47",2095,0.722,"transportation","Africa_Northern"
"48",2100,0.689,"transportation","Africa_Northern"
"49",2025,1.25,"transportation","Africa_Southern"
"50",2030,1.25,"transportation","Africa_Southern"
"51",2035,1.25,"transportation","Africa_Southern"
"52",2040,1.25,"transportation","Africa_Southern"
"53",2045,1.25,"transportation","Africa_Southern"
"54",2050,1.25,"transportation","Africa_Southern"
"55",2055,1.25,"transportation","Africa_Southern"
"56",2060,1.25,"transportation","Africa_Southern"
"57",2065,1.25,"transportation","Africa_Southern"
"58",2070,1.25,"transportation","Africa_Southern"
"59",2075,1.25,"transportation","Africa_Southern"
"60",2080,1.25,"transportation","Africa_Southern"
"61",2085,1.25,"transportation","Africa_Southern"
"62",2090,1.25,"transportation","Africa_Southern"
"63",2095,1.25,"transportation","Africa_Southern"
"64",2100,1.25,"transportation","Africa_Southern"
"65",2025,1.25,"transportation","Africa_Western"
"66",2030,1.25,"transportation","Africa_Western"
"67",2035,1.25,"transportation","Africa_Western"
"68",2040,1.25,"transportation","Africa_Western"
"69",2045,1.25,"transportation","Africa_Western"
"70",2050,1.25,"transportation","Africa_Western"
"71",2055,1.25,"transportation","Africa_Western"
"72",2060,1.25,"transportation","Africa_Western"
"73",2065,1.25,"transportation","Africa_Western"
"74",2070,1.25,"transportation","Africa_Western"
"75",2075,1.25,"transportation","Africa_Western"
"76",2080,1.25,"transportation","Africa_Western"
"77",2085,1.25,"transportation","Africa_Western"
"78",2090,1.25,"transportation","Africa_Western"
"79",2095,1.25,"transportation","Africa_Western"
"80",2100,1.25,"transportation","Africa_Western"
"81",2025,0.585,"transportation","Australia_NZ"
"82",2030,0.558,"transportation","Australia_NZ"
"83",2035,0.53,"transportation","Australia_NZ"
"84",2040,0.5,"transportation","Australia_NZ"
"85",2045,0.469,"transportation","Australia_NZ"
"86",2050,0.443,"transportation","Australia_NZ"
"87",2055,0.42,"transportation","Australia_NZ"
"88",2060,0.4,"transportation","Australia_NZ"
"89",2065,0.4,"transportation","Australia_NZ"
"90",2070,0.4,"transportation","Australia_NZ"
"91",2075,0.4,"transportation","Australia_NZ"
"92",2080,0.4,"transportation","Australia_NZ"
"93",2085,0.4,"transportation","Australia_NZ"
"94",2090,0.4,"transportation","Australia_NZ"
"95",2095,0.4,"transportation","Australia_NZ"
"96",2100,0.4,"transportation","Australia_NZ"
"97",2025,1.25,"transportation","Brazil"
"98",2030,1.25,"transportation","Brazil"
"99",2035,1.25,"transportation","Brazil"
"100",2040,1.25,"transportation","Brazil"
"101",2045,1.25,"transportation","Brazil"
"102",2050,1.204,"transportation","Brazil"
"103",2055,1.069,"transportation","Brazil"
"104",2060,0.918,"transportation","Brazil"
"105",2065,0.814,"transportation","Brazil"
"106",2070,0.739,"transportation","Brazil"
"107",2075,0.689,"transportation","Brazil"
"108",2080,0.667,"transportation","Brazil"
"109",2085,0.644,"transportation","Brazil"
"110",2090,0.619,"transportation","Brazil"
"111",2095,0.593,"transportation","Brazil"
"112",2100,0.566,"transportation","Brazil"
"113",2025,0.632,"transportation","Canada"
"114",2030,0.612,"transportation","Canada"
"115",2035,0.59,"transportation","Canada"
"116",2040,0.564,"transportation","Canada"
"117",2045,0.539,"transportation","Canada"
"118",2050,0.514,"transportation","Canada"
"119",2055,0.489,"transportation","Canada"
"120",2060,0.464,"transportation","Canada"
"121",2065,0.443,"transportation","Canada"
"122",2070,0.424,"transportation","Canada"
"123",2075,0.405,"transportation","Canada"
"124",2080,0.4,"transportation","Canada"
"125",2085,0.4,"transportation","Canada"
"126",2090,0.4,"transportation","Canada"
"127",2095,0.4,"transportation","Canada"
"128",2100,0.4,"transportation","Canada"
"129",2025,1.25,"transportation","Central America and Caribbean"
"130",2030,1.25,"transportation","Central America and Caribbean"
"131",2035,1.25,"transportation","Central America and Caribbean"
"132",2040,1.25,"transportation","Central America and Caribbean"
"133",2045,1.25,"transportation","Central America and Caribbean"
