"region","supplysector","tranSubsector","year","sce","base.service"
"Africa_Eastern","trn_pass_urban","Cycle",1975,"CORE",26494
"Africa_Eastern","trn_pass_urban","Cycle",1990,"CORE",40670
"Africa_Eastern","trn_pass_urban","Cycle",2005,"CORE",62052
"Africa_Eastern","trn_pass_urban","Cycle",2010,"CORE",71786
"Africa_Eastern","trn_pass_urban","Cycle",2015,"CORE",81964
"Africa_Eastern","trn_pass_urban","Cycle",2021,"CORE",95670
"Africa_Eastern","trn_pass_urban","Passenger Rail",1975,"CORE",42.4467606829032
"Africa_Eastern","trn_pass_urban","Passenger Rail",1990,"CORE",81.715140734961
"Africa_Eastern","trn_pass_urban","Passenger Rail",2005,"CORE",130.980037742837
"Africa_Eastern","trn_pass_urban","Passenger Rail",2010,"CORE",176.466523933327
"Africa_Eastern","trn_pass_urban","Passenger Rail",2015,"CORE",258.401272591107
"Africa_Eastern","trn_pass_urban","Passenger Rail",2021,"CORE",394.669435402488
"Africa_Eastern","trn_pass_urban","Walk",1975,"CORE",79482
"Africa_Eastern","trn_pass_urban","Walk",1990,"CORE",122009
"Africa_Eastern","trn_pass_urban","Walk",2005,"CORE",186156
"Africa_Eastern","trn_pass_urban","Walk",2010,"CORE",215360
"Africa_Eastern","trn_pass_urban","Walk",2015,"CORE",245891
"Africa_Eastern","trn_pass_urban","Walk",2021,"CORE",287011
"Africa_Eastern","trn_pass_road_urban","Bus",1975,"CORE",15777.5933255338
"Africa_Eastern","trn_pass_road_urban","Bus",1990,"CORE",30406.2438411085
"Africa_Eastern","trn_pass_road_urban","Bus",2005,"CORE",43909.9951929714
"Africa_Eastern","trn_pass_road_urban","Bus",2010,"CORE",65606.9689022965
"Africa_Eastern","trn_pass_road_urban","Bus",2015,"CORE",96014.7688121666
"Africa_Eastern","trn_pass_road_urban","Bus",2021,"CORE",128041.526706888
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",1369.10130383156
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",2638.40962709888
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",3810.04822470757
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",5908.66738005982
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",8988.54929742652
"Africa_Eastern","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",12562.1801958724
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",5091.91017369661
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",9812.95628422056
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",14171.0060199498
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",21449.2091555323
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",31961.1495096824
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",43360.8645071684
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",2258.74928874407
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",4352.99404685693
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",6286.18167345457
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",9748.78274002206
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",14830.4551478401
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",20727.2539226444
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",2645.53838307998
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",5098.43114593196
"Africa_Eastern","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",7362.71946043075
